"Id","Holiday Name","Day","Type","Comments","Holiday Date","State","Country"
263,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Perlis,Malaysia
264,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Perlis,Malaysia
265,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Perlis,Malaysia
266,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Perlis,Malaysia
267,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Perlis,Malaysia
268,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Perlis,Malaysia
269,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Perlis,Malaysia
270,Christmas Day,Sunday,National Holiday,"",2022-12-25,Perlis,Malaysia
271,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Perlis,Malaysia
272,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Penang,Malaysia
273,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Penang,Malaysia
274,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Penang,Malaysia
275,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Penang,Malaysia
276,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Penang,Malaysia
277,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Penang,Malaysia
278,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Penang,Malaysia
279,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Penang,Malaysia
280,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Penang,Malaysia
281,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Penang,Malaysia
282,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Penang,Malaysia
283,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Penang,Malaysia
284,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Penang,Malaysia
285,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Penang,Malaysia
286,George Town Heritage Day,Thursday,Regional Holiday,Penang only,2022-07-07,Penang,Malaysia
287,Birthday of the Governor,Saturday,Regional Holiday,Penang,2022-07-09,Penang,Malaysia
288,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Penang,Malaysia
289,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Penang,Malaysia
290,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Penang,Malaysia
291,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Penang,Malaysia
292,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Penang,Malaysia
293,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Penang,Malaysia
294,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Penang,Malaysia
295,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Penang,Malaysia
296,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Penang,Malaysia
297,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Penang,Malaysia
298,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Penang,Malaysia
299,Christmas Day,Sunday,National Holiday,"",2022-12-25,Penang,Malaysia
300,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Penang,Malaysia
301,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Perak,Malaysia
302,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Perak,Malaysia
303,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Perak,Malaysia
304,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Perak,Malaysia
305,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Perak,Malaysia
306,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Perak,Malaysia
307,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Perak,Malaysia
308,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Perak,Malaysia
309,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Perak,Malaysia
310,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Perak,Malaysia
311,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Perak,Malaysia
312,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Perak,Malaysia
313,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Perak,Malaysia
314,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Perak,Malaysia
315,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Perak,Malaysia
316,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Perak,Malaysia
317,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Perak,Malaysia
318,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Perak,Malaysia
319,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Perak,Malaysia
320,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Perak,Malaysia
321,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Perak,Malaysia
322,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Perak,Malaysia
323,Birthday of the Sultan of Perak,Friday,Regional Holiday,Perak,2022-11-04,Perak,Malaysia
324,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Perak,Malaysia
325,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Perak,Malaysia
326,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Perak,Malaysia
327,Christmas Day,Sunday,National Holiday,"",2022-12-25,Perak,Malaysia
328,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Perak,Malaysia
329,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Sabah,Malaysia
330,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Sabah,Malaysia
331,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Sabah,Malaysia
332,Good Friday,Friday,Regional Holiday,Sabah and Sarawak,2022-04-15,Sabah,Malaysia
333,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Sabah,Malaysia
334,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Sabah,Malaysia
335,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Sabah,Malaysia
336,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Sabah,Malaysia
337,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Sabah,Malaysia
338,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Sabah,Malaysia
339,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Sabah,Malaysia
340,Pesta Kaamatan,Monday,Regional Holiday,Sabah and Labuan only,2022-05-30,Sabah,Malaysia
341,Pesta Kaamatan,Tuesday,Regional Holiday,Sabah and Labuan only,2022-05-31,Sabah,Malaysia
342,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Sabah,Malaysia
343,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Sabah,Malaysia
344,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Sabah,Malaysia
345,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Sabah,Malaysia
346,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Sabah,Malaysia
347,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Sabah,Malaysia
348,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Sabah,Malaysia
349,Birthday of the Governor of Sabah,Saturday,Regional Holiday,Sabah only. 1st Saturday in October,2022-10-01,Sabah,Malaysia
350,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Sabah,Malaysia
351,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Sabah,Malaysia
352,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Sabah,Malaysia
353,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Sabah,Malaysia
354,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Sabah,Malaysia
355,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Sabah,Malaysia
356,Christmas Eve,Saturday,Regional Holiday,Sabah,2022-12-24,Sabah,Malaysia
357,Christmas Day,Sunday,National Holiday,"",2022-12-25,Sabah,Malaysia
358,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Sabah,Malaysia
359,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Selangor,Malaysia
360,Thaipusam,Tuesday,Regional Holiday,Several states,2022-01-18,Selangor,Malaysia
361,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Selangor,Malaysia
362,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Selangor,Malaysia
363,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Selangor,Malaysia
364,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Selangor,Malaysia
365,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Selangor,Malaysia
366,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Selangor,Malaysia
367,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Selangor,Malaysia
368,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Selangor,Malaysia
369,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Selangor,Malaysia
370,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Selangor,Malaysia
371,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Selangor,Malaysia
372,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Selangor,Malaysia
373,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Selangor,Malaysia
374,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Selangor,Malaysia
375,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Selangor,Malaysia
376,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Selangor,Malaysia
377,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Selangor,Malaysia
378,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Selangor,Malaysia
379,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Selangor,Malaysia
380,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Selangor,Malaysia
381,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Selangor,Malaysia
382,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Selangor,Malaysia
383,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Selangor,Malaysia
384,Birthday of The Sultan of Selangor,Sunday,Regional Holiday,Selangor only,2022-12-11,Selangor,Malaysia
385,Birthday of The Sultan of Selangor (in lieu),Monday,Regional Holiday,Selangor only,2022-12-12,Selangor,Malaysia
386,Christmas Day,Sunday,National Holiday,"",2022-12-25,Selangor,Malaysia
387,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Selangor,Malaysia
388,New Year's Day,Saturday,Regional Holiday,Most states,2022-01-01,Sarawak,Malaysia
389,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Sarawak,Malaysia
390,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Sarawak,Malaysia
391,Good Friday,Friday,Regional Holiday,Sabah and Sarawak,2022-04-15,Sarawak,Malaysia
392,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Sarawak,Malaysia
393,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Sarawak,Malaysia
394,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Sarawak,Malaysia
395,Labour Day (in lieu),Wednesday,Regional Holiday,Most states,2022-05-04,Sarawak,Malaysia
396,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Sarawak,Malaysia
397,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Sarawak,Malaysia
398,Wesak Day (in lieu),Monday,Regional Holiday,Birth of Buddha,2022-05-16,Sarawak,Malaysia
399,Gawai Dayak,Wednesday,Regional Holiday,Sarawak,2022-06-01,Sarawak,Malaysia
400,Gawai Dayak,Thursday,Regional Holiday,Sarawak,2022-06-02,Sarawak,Malaysia
401,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Sarawak,Malaysia
402,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Sarawak,Malaysia
403,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Sarawak,Malaysia
404,Hari Raya Haji (in lieu),Monday,Regional Holiday,Feast of the sacrifice,2022-07-11,Sarawak,Malaysia
405,Sarawak Day,Friday,Regional Holiday,"",2022-07-22,Sarawak,Malaysia
406,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Sarawak,Malaysia
407,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Sarawak,Malaysia
408,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Sarawak,Malaysia
409,Birthday of the Governor of Sarawak,Saturday,Regional Holiday,Sarawak only,2022-10-08,Sarawak,Malaysia
410,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Sarawak,Malaysia
411,Maulidur Rasul (in lieu),Monday,Regional Holiday,"Except JR, KDH, KTN, TRG",2022-10-10,Sarawak,Malaysia
412,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Sarawak,Malaysia
413,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Sarawak,Malaysia
414,Christmas Day,Sunday,National Holiday,"",2022-12-25,Sarawak,Malaysia
415,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Sarawak,Malaysia
416,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2022-02-01,Terengganu,Malaysia
417,Chinese New Year Holiday,Wednesday,National Holiday,"2nd day of 1st lunar month",2022-02-02,Terengganu,Malaysia
418,Isra and Miraj,Tuesday,Regional Holiday,"Kedah, Perlis, Negeri Sembilan, Terengganu",2022-03-01,Terengganu,Malaysia
419,Anniversary of Installation of the Sultan,Friday,Regional Holiday,Terengganu,2022-03-04,Terengganu,Malaysia
420,Nuzul Al-Quran Day,Tuesday,Regional Holiday,Many regions,2022-04-19,Terengganu,Malaysia
421,Birthday of the Sultan of Terengganu,Tuesday,Regional Holiday,Terengganu,2022-04-26,Terengganu,Malaysia
422,Labour Day,Sunday,National Holiday,International Workers' Day,2022-05-01,Terengganu,Malaysia
423,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2022-05-02,Terengganu,Malaysia
424,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,"",2022-05-03,Terengganu,Malaysia
425,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2022-05-08,Terengganu,Malaysia
426,Wesak Day,Sunday,National Holiday,Birth of Buddha,2022-05-15,Terengganu,Malaysia
427,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2022-06-06,Terengganu,Malaysia
428,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2022-06-19,Terengganu,Malaysia
429,Arafat Day,Saturday,Regional Holiday,"",2022-07-09,Terengganu,Malaysia
430,Hari Raya Haji,Sunday,National Holiday,Feast of the sacrifice,2022-07-10,Terengganu,Malaysia
431,Awal Muharram,Saturday,National Holiday,Hijri New Year,2022-07-30,Terengganu,Malaysia
432,National Day,Wednesday,National Holiday,Independence Day,2022-08-31,Terengganu,Malaysia
433,Malaysia Day,Friday,National Holiday,Became a Federal Holiday in 2010,2022-09-16,Terengganu,Malaysia
434,Maulidur Rasul,Sunday,National Holiday,Birthday of Prophet Muhammad,2022-10-09,Terengganu,Malaysia
435,Deepavali,Monday,Regional Holiday,Except Sarawak,2022-10-24,Terengganu,Malaysia
436,Public Holiday,Friday,Regional Holiday,In conjunction with the 15th General Election,2022-11-18,Terengganu,Malaysia
437,Public Holiday,Saturday,Regional Holiday,For participation in General Elections,2022-11-19,Terengganu,Malaysia
438,Public Holiday,Monday,Regional Holiday,For participation in General Elections,2022-11-28,Terengganu,Malaysia
439,Christmas Day,Sunday,National Holiday,"",2022-12-25,Terengganu,Malaysia
440,Christmas Day (in lieu),Monday,National Holiday,"",2022-12-26,Terengganu,Malaysia
441,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Johor,Malaysia
442,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Johor,Malaysia
443,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Johor,Malaysia
444,Birthday of the Sultan of Johor,Thursday,Regional Holiday,Johor only,2023-03-23,Johor,Malaysia
445,Beginning of Ramadan (in lieu),Sunday,Regional Holiday,Johor,2023-03-26,Johor,Malaysia
446,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Johor,Malaysia
447,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Johor,Malaysia
448,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Johor,Malaysia
449,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Johor,Malaysia
450,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Johor,Malaysia
451,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Johor,Malaysia
452,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Johor,Malaysia
453,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Johor,Malaysia
454,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Johor,Malaysia
455,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Johor,Malaysia
456,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Johor,Malaysia
457,The Sultan of Johor Hol,Wednesday,Regional Holiday,Johor only,2023-08-23,Johor,Malaysia
458,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Johor,Malaysia
459,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Johor,Malaysia
